N,t,3.43914494*lg(n)-32.24937551,,0.08244813*sqrt(n)-8.05095223,,(9.82006242E-05)*n-3.03381703,,(1.13551219E-10)*n^2+0.00266263,,(1.18778825E-16)*n^3+1.54379044,,(5.01191389E-06)*nlg(n)-2.62768665,
25,0.00015,-16.27848099,264.993827,-7.63871158,58.35220624,-3.031362014,9.190065093,0.002662701,6.31E-06,1.54379044,2.382825808,-2.627104785,6.902467704
50,0.00021,-12.83933605,164.8539428,-7.467955912,55.77350209,-3.028906999,9.175549792,0.002662914,6.02E-06,1.54379044,2.382640575,-2.626272324,6.898409398
75,0.00025,-10.82756523,117.2415826,-7.336930479,53.83421739,-3.026451983,9.160924895,0.002663269,5.82E-06,1.54379044,2.38251709,-2.625345277,6.89375056
100,0.00048,-9.400191113,88.37261737,-7.22647093,52.22881974,-3.023996968,9.147460927,0.002663766,4.77E-06,1.54379044,2.381807115,-2.624356806,6.889768261
500,0.00041,-1.414743854,2.002660431,-6.207355997,38.53635867,-2.984716718,8.910981522,0.002691018,5.20E-06,1.543790455,2.382023228,-2.605218781,6.789301342
750,0.00107,0.59702697,0.35516471,-5.793017199,33.57144647,-2.960166562,8.768921975,0.002726503,2.74E-06,1.54379049,2.379986511,-2.59178601,6.722902287
1000,0.00123,2.024401086,4.093221242,-5.443713434,29.647409,-2.935616406,8.625066811,0.002776181,2.39E-06,1.543790559,2.379493078,-2.577738997,6.651081089
2500,0.00365,6.570703404,43.12619041,-3.92854573,15.46216326,-2.78831547,7.795071183,0.003372325,7.71E-08,1.543792296,2.372038292,-2.486254044,6.199622148
5000,0.00585,10.00984834,100.0799829,-2.220989048,4.958812146,-2.542813909,6.495687721,0.00550141,1.22E-07,1.543805287,2.365306466,-2.319761868,5.408470562
7500,0.01253,12.02161917,144.2182227,-0.910734723,0.852417748,-2.297312349,5.335371675,0.009049886,1.21E-05,1.54384055,2.344912,-2.143811115,4.649807003
10000,0.01735,13.44899328,180.4090413,0.19386077,0.031156052,-2.051810788,4.281426367,0.014017752,1.11E-05,1.543909219,2.330383049,-1.961717948,3.916709941
25000,0.0956,17.9952956,320.3991027,4.985241751,23.90859645,-0.578801425,0.454817282,0.073632142,0.000482587,1.545646359,2.102634444,-0.797130149,0.79696712
50000,0.31568,21.43444054,446.0020469,10.3850101,101.3914087,1.87621418,2.435266927,0.286540678,0.0008491,1.558637793,1.544944075,1.284022046,0.937686317
75000,0.67456,23.44621137,518.548106,14.52839808,191.9288296,4.331229785,13.37123392,0.641388237,0.001100366,1.593900257,0.845186508,3.45976002,7.757339149
100000,1.16751,24.87358548,561.9780148,18.02143573,284.0548126,6.78624539,31.57018738,1.13817482,0.000860553,1.662569265,0.245083676,5.69692213,20.51557424
250000,7.04601,29.4198878,500.5904079,33.17311277,682.6254992,21.51633902,209.3904219,7.099613818,0.002873369,3.399709581,13.29550675,19.84018275,163.6908562
500000,28.704,32.85903274,17.26429708,50.24867959,464.1732186,46.06649507,301.4562351,28.39046738,0.098302704,16.39114357,151.6064336,44.81400909,259.5323928
750000,63.2116,34.87080357,803.2007425,63.35122284,0.019494539,70.61665112,54.83478209,63.87522332,0.440395908,51.65360724,133.5871967,70.73369322,56.58188635
1000000,113.85157,36.29817768,6014.52866,74.39717777,1556.649066,95.16680717,349.120362,113.5538816,0.088618366,120.3226154,41.87442909,97.26761871,275.0274403
,MSE,,541.6977806,,191.9999702,,55.23788603,,0.033344191,,19.53607095,,44.8822333
