N,t,0.04817743*lg(n)-0.43840558,,0.00104942*sqrt(n)-0.07461928,,(1.173288E-06)*n+0.00044382,,(1.26362835E-12)*n^2+0.04600024,,(1.26970684E-18)*n^3+0.0674388,,(5.94463344E-08)*nlg(n)+0.00650788,
25,0,-0.214676523,0.04608601,-0.06937218,0.004812499,0.000473152,2.23873E-07,0.046000241,0.002116022,0.0674388,0.004547992,0.006514782,4.24424E-05
50,0,-0.166499093,0.027721948,-0.06719876,0.004515673,0.000502484,2.52491E-07,0.046000243,0.002116022,0.0674388,0.004547992,0.006524655,4.25711E-05
75,0,-0.138317104,0.019131621,-0.065531036,0.004294317,0.000531817,2.82829E-07,0.046000247,0.002116023,0.0674388,0.004547992,0.006535651,4.27147E-05
100,0,-0.118321663,0.014000016,-0.06412508,0.004112026,0.000561149,3.14888E-07,0.046000253,0.002116023,0.0674388,0.004547992,0.006547375,4.28681E-05
500,0.001,-0.006457135,5.56089E-05,-0.051153535,0.002719991,0.001030464,9.28055E-10,0.046000556,0.00202505,0.0674388,0.004414114,0.006774372,3.33434E-05
750,0.001,0.021724855,0.00042952,-0.04587973,0.002197709,0.001323786,1.04837E-07,0.046000951,0.002025086,0.067438801,0.004414114,0.006933698,3.52088E-05
1000,0.001,0.041720295,0.001658142,-0.041433706,0.001800619,0.001617108,3.80822E-07,0.046001504,0.002025135,0.067438801,0.004414114,0.007100309,3.72138E-05
2500,0.003,0.105407393,0.010487274,-0.02214828,0.000632436,0.00337704,1.42159E-07,0.046008138,0.0018497,0.06743882,0.004152362,0.008185413,2.68885E-05
5000,0.006,0.153584823,0.02178128,-0.00041408,4.11404E-05,0.00631026,9.62613E-08,0.046031831,0.001602547,0.067438959,0.003774746,0.010160177,1.73071E-05
7500,0.008,0.181766813,0.030194905,0.016263158,6.82798E-05,0.00924348,1.54624E-06,0.046071319,0.001449425,0.067439336,0.003533035,0.01224713,1.80381E-05
10000,0.011,0.201762253,0.036390237,0.03032272,0.000373368,0.0121767,1.38462E-06,0.046126603,0.001233878,0.06744007,0.003185481,0.014406938,1.16072E-05
25000,0.029,0.265449351,0.055908296,0.091308591,0.003882361,0.02977602,6.02207E-07,0.046790008,0.000316484,0.067458639,0.001479067,0.028220119,6.08214E-07
50000,0.066,0.313626781,0.061319023,0.160038166,0.008843177,0.05910822,4.74966E-05,0.049159311,0.000283609,0.067597513,2.55205E-06,0.052904675,0.000171488
75000,0.08701,0.341808771,0.064922414,0.212776223,0.015817143,0.08844042,2.0461E-06,0.053108149,0.001149335,0.067974458,0.000362352,0.078711114,6.88715E-05
100000,0.11701,0.361804211,0.059924206,0.257236462,0.019663461,0.11777262,5.81589E-07,0.058636524,0.003407463,0.068708507,0.002333034,0.105246104,0.000138389
250000,0.29502,0.42549131,0.017022763,0.45009072,0.024046928,0.29376582,1.57297E-06,0.124977012,0.028914618,0.087277969,0.043156751,0.272999385,0.000484907
500000,0.58806,0.47366874,0.01308536,0.667432718,0.006300028,0.58708782,9.45134E-07,0.361907328,0.051145031,0.226152155,0.130977288,0.569214058,0.00035517
750000,0.88407,0.501850729,0.146091571,0.834205099,0.002486508,0.88040982,1.33969E-05,0.756791187,0.016199896,0.603096373,0.078946179,0.876647554,5.50927E-05
1000000,1.17007,0.52184617,0.420194134,0.97480072,0.038130092,1.17373182,1.34089E-05,1.30962859,0.0194766,1.33714564,0.027914269,1.19136657,0.000453544
,MSE,,0.034789455,,0.005922648,,3.96508E-06,,0.006782853,,0.016852064,,9.02627E-05
