N,t,0.37562518*lg(n)-3.41947518,,0.00819578*sqrt(n)-0.58636561,,(9.17431942E-06)*n-0.00177538,,(9.89584508E-12)*n^2+0.35293736,,(9.95347464E-18)*n^3+0.52000358,,(4.64898369E-07)*nlg(n)+0.04545163,
25,0,-1.675125863,2.806046656,-0.54538671,0.297446663,-0.001546022,2.39018E-06,0.352937366,0.124564784,0.52000358,0.270403723,0.045505603,0.00207076
50,0,-1.299500683,1.688702025,-0.528412694,0.279219975,-0.001316664,1.7336E-06,0.352937385,0.124564798,0.52000358,0.270403723,0.045582821,0.002077794
75,0.001,-1.079774038,1.168072522,-0.515388073,0.266656642,-0.001087306,4.35685E-06,0.352937416,0.123859945,0.52000358,0.269364716,0.045668813,0.001995303
100,0.001,-0.923875503,0.855394696,-0.50440781,0.255437054,-0.000857948,3.45197E-06,0.352937459,0.123859975,0.52000358,0.269364716,0.045760502,0.002003503
500,0.004,-0.051700844,0.003102584,-0.403102398,0.165732362,0.00281178,1.41187E-06,0.352939834,0.121759008,0.520003581,0.266259696,0.047535719,0.001895359
750,0.007,0.1680258,0.025929308,-0.361914931,0.136098226,0.00510536,3.58966E-06,0.352942926,0.119676508,0.520003584,0.263172677,0.048781725,0.001745713
1000,0.009,0.323924336,0.099177337,-0.32719229,0.113025256,0.007398939,2.56339E-06,0.352947256,0.118299715,0.52000359,0.261124669,0.050084707,0.001687953
2500,0.024,0.820473814,0.634370537,-0.17657661,0.040230976,0.021160419,8.06322E-06,0.352999209,0.10824048,0.520003736,0.246019706,0.058570728,0.001195135
5000,0.046,1.196098994,1.322727697,-0.006836448,0.00279169,0.044096217,3.62439E-06,0.353184756,0.094362474,0.520004824,0.224680573,0.074014317,0.000784802
7500,0.07,1.415825639,1.811246651,0.123409758,0.002852602,0.067032016,8.80893E-06,0.353494001,0.080368849,0.520007779,0.202507001,0.090335272,0.000413523
10000,0.09201,1.571724174,2.189554038,0.23321239,0.019938115,0.089967814,4.17052E-06,0.353926945,0.068600486,0.520013533,0.183187025,0.107225988,0.000231526
25000,0.22702,2.068273653,3.390215014,0.70950099,0.232787906,0.227582606,3.16525E-07,0.359122263,0.017451008,0.520159103,0.085930534,0.215251581,0.000138496
50000,0.45903,2.443898833,3.939704284,1.246266511,0.619741324,0.456940591,4.36563E-06,0.377676973,0.006618315,0.521247764,0.00387105,0.40829645,0.002573893
75000,0.68507,2.663625478,3.914681778,1.658141181,0.946867524,0.686298577,1.5094E-06,0.408601489,0.076434838,0.524202702,0.025878288,0.610114968,0.005618257
100000,0.91607,2.819524013,3.623137179,2.00536759,1.18656924,0.915656562,1.70931E-07,0.451895811,0.215457678,0.529957055,0.149083207,0.817631107,0.009690216
250000,2.27717,3.316073492,1.079320465,3.51152439,1.52363076,2.291804475,0.000214168,0.971427678,1.704963013,0.675526621,2.565261513,2.129540875,0.021794358
500000,4.56335,3.691698672,0.759776038,5.208926005,0.416768378,4.58538433,0.000485512,2.82689863,3.01526336,1.76418791,7.835308406,4.446079305,0.013752416
750000,6.87952,3.911425316,8.809586052,6.511388074,0.135521115,6.878964185,3.0893E-07,5.919350218,0.921926011,4.719125694,4.667303558,6.850354227,0.000850642
1000000,9.1867,4.067323852,26.20801215,7.60941439,2.487829896,9.17254404,0.000200391,10.24878244,1.128019109,10.47347822,1.655798187,9.311605349,0.015601346
,MSE,,2.117819159,,0.368961989,,4.16953E-05,,0.39812618,,1.00328471,,0.003917758
