N,t,14.40943975*lg(n)-135.16076602,,0.34607078*sqrt(n)-33.92075127,,0.00041295*n-12.97214127,,(4.78934874E-10)*n^2-0.34656343,,(5.02092652E-16)*n^3+6.06230614,,(2.1081061E-05)*nlg(n)-11.279042,
25,0.00028,-68.24540005,4657.472845,-32.19039737,1036.23971,-12.96181752,168.0159721,-0.346563131,0.120300157,6.06230614,36.74428133,-11.27659456,127.1678999
50,0.0006,-53.8359603,2898.375224,-31.47366132,990.6291254,-12.95149377,167.756733,-0.346562233,0.120521616,6.06230614,36.74416009,-11.27309308,127.0961556
75,0.00061,-45.40697839,2061.849083,-30.9236904,956.3123552,-12.94117002,167.4896701,-0.346560736,0.12052752,6.06230614,36.74112931,-11.26919374,127.0084764
100,0.00086,-39.42652055,1554.518337,-30.46004347,927.8666402,-12.93084627,167.2290271,-0.346558641,0.120699712,6.062306141,36.73070437,-11.26503605,126.9204137
500,0.00172,-5.968837559,35.64755756,-26.18237338,685.6067461,-12.76566627,163.0061522,-0.346443696,0.121217959,6.062306203,36.70392221,-11.18453788,125.1323653
750,0.00393,2.460144351,6.03298894,-24.44321264,597.662783,-12.66242877,160.4366445,-0.346294029,0.122656871,6.062306352,36.69205056,-11.12803709,123.9206914
1000,0.00491,8.440602191,71.16090275,-22.97703231,528.1696721,-12.55919127,157.8566407,-0.346084495,0.123197136,6.062306642,36.5603635,-11.06895269,122.630435
2500,0.01579,27.48884543,754.7687746,-16.61721227,276.6567645,-11.93976627,142.9353257,-0.343570087,0.129139672,6.062313985,36.31995559,-10.68414962,114.4887078
5000,0.03571,41.89828518,1752.475201,-9.449851739,89.97588151,-10.90739127,119.7514654,-0.334590058,0.137122133,6.062368902,36.00370691,-9.983851929,100.3916212
7500,0.06206,50.32726709,2526.591044,-3.950142571,16.09776947,-9.87501627,98.7454848,-0.319623343,0.145682175,6.06251796,35.57046448,-9.243769667,86.59846579
10000,0.09842,56.30772493,3159.485961,0.68632673,0.345634323,-8.84264127,79.94257663,-0.298669943,0.157680423,6.062808233,32.42685456,-8.477851248,73.55242852
25000,0.36835,75.35596817,5623.142878,20.79784355,417.3642068,-2.64839127,9.10072789,-0.047229134,0.172706016,6.070151338,22.82834119,-3.579373949,15.58452438
50000,1.29225,89.76540792,7827.499672,43.46302764,1778.374487,7.67535873,40.74407706,0.850773755,0.194901275,6.125067722,10.79561238,5.174347151,15.07067829
75000,2.8394,98.19438983,9092.574085,60.85463508,3365.767501,17.99910873,229.8167688,2.347445236,0.24201949,6.274126478,2.020879682,14.32591399,131.9400036
100000,4.85255,104.1748477,9864.918814,75.51643837,4993.38512,28.32285873,550.8553919,4.44278531,0.167907101,6.564398792,511.8124002,23.7358424,356.578732
250000,29.18767,123.2230909,8842.660384,139.1146387,12083.93845,90.26535873,3730.484061,29.5868662,0.159357602,13.90750383,10579.96075,83.22508071,2920.041756
500000,116.76644,137.6325307,435.3937391,210.788244,8840.099635,193.5028587,5888.47796,119.3871551,6.868147478,68.82388764,37078.21456,188.2697339,5112.721041
750000,261.38093,146.0615126,13298.56804,265.7853357,19.39878972,296.7403587,1250.2892,269.0543032,58.88065619,217.8826437,70593.17745,297.2928445,1289.665603
1000000,483.57641,152.0419704,109915.0846,312.1500287,29387.0042,399.9778587,6988.717774,478.5883106,24.88113592,508.1549581,258221.4615,408.8995708,5576.630308
,MSE,,9704.12,,3525.84,,1067.46,,4.89398,,19864.1,,877.534
